ROK;MIESIAC;OW_NFZ;NIP_PODMIOTU;KOD_PRODUKTU_KONTRAKTOWEGO;KOD_PRODUKTU_JEDNOSTKOWEGO;KOD_TRYBU_PRZYJECIA;KOD_TRYBU_WYPISU;PLEC_PACJENTA;GRUPA_WIEKOWA_PACJENTA;PRZEDZIAL_DLUGOSCI_TRWANIA_HOSPITALIZACJI;LICZBA_HOSPITALIZACJI
2022;11;"12";"6262510567";"03.4500.030.02";"5.51.01.0006072";6;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;2;"03";"7122410926";"03.4610.998.02";"5.51.01.0010003";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;7;"05";"7260004820";"03.4240.010.02";"5.51.01.0009002";11;1;"K";"45-64";"1-2 dni";"<5"
2022;1;"07";"5220002529";"03.4051.030.02";"5.51.01.0014012";3;2;"K";"0-17";"6 i więcej dni";"<5"
2022;7;"11";"5833162278";"03.4500.030.02";"5.51.01.0007044";6;2;"K";"18-44";"3-5 dni";"<5"
2022;8;"07";"5661019200";"03.4640.030.02";"5.51.01.0011015";3;2;"M";"18-44";"1-2 dni";"<5"
2022;12;"07";"5311331954";"03.4000.030.02";"5.51.01.0016005";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;5;"07";"5252491419";"03.4580.030.02";"5.51.01.0008067";3;9;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;12;"09";"8721907964";"03.4000.030.02";"5.51.01.0011105";3;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;1;"07";"5291004702";"03.4570.030.02";"5.51.01.0008051";3;1;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;6;"14";"7451593187";"03.4500.030.02";"5.51.01.0006072";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;8;"05";"7681534113";"03.4401.030.02";"5.51.01.0014023";2;3;"M";"0-17";"0 dni";"<5"
2022;12;"15";"7851793027";"03.4580.030.02";"5.51.01.0008053";6;1;"M";"65 i wiecej";"3-5 dni";"<5"
2022;1;"12";"9542269625";"03.4100.030.02";"5.51.01.0004016";3;2;"K";"18-44";"3-5 dni";"<5"
2022;6;"14";"7122410820";"03.4600.031.02";"5.51.01.0002053";6;1;"K";"65 i wiecej";"0 dni";"<5"
2022;1;"14";"7392955794";"03.4100.030.02";"5.51.01.0005062";3;2;"K";"45-64";"3-5 dni";"<5"
2022;1;"06";"6751199442";"03.4450.260.02";"5.51.01.0013009";2;1;"K";"18-44";"6 i więcej dni";"<5"
2022;3;"01";"6151706942";"03.4240.030.02";"5.51.01.0016004";6;1;"K";"65 i wiecej";"1-2 dni";"<5"
2022;5;"15";"7671449305";"03.4401.030.02";"5.51.01.0014023";2;2;"M";"0-17";"1-2 dni";"<5"
2022;5;"15";"9231506721";"03.4401.030.02";"5.51.01.0014005";6;2;"M";"0-17";"3-5 dni";"<5"
2022;1;"12";"6412490985";"03.4401.030.02";"5.51.01.0014047";3;2;"K";"0-17";"1-2 dni";"<5"
2022;12;"06";"8681604021";"03.4000.030.02";"5.51.01.0005094";2;3;"M";"45-64";"3-5 dni";"<5"
2022;10;"12";"6342309181";"03.4000.030.02";"5.51.01.0011105";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"12";"6351572989";"03.4580.991.02";"5.51.01.0008014";6;1;"K";"45-64";"6 i więcej dni";"<5"
2022;9;"07";"1250931792";"03.4220.130.02";"5.51.01.0001048";3;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;5;"11";"5911694694";"03.4280.030.02";"5.51.01.0008098";6;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;5;"15";"7792033466";"03.4100.030.02";"5.51.01.0005092";6;1;"M";"45-64";"3-5 dni";"<5"
2022;7;"06";"6782680028";"03.4580.030.02";"5.51.01.0008021";6;2;"M";"18-44";"1-2 dni";"<5"
2022;6;"06";"6811690668";"03.4500.030.02";"5.51.01.0006036";3;2;"K";"45-64";"6 i więcej dni";"<5"
2022;7;"15";"7781350016";"03.4580.030.02";"5.51.01.0004007";2;2;"M";"45-64";"3-5 dni";"<5"
2022;4;"09";"8131501971";"03.4500.030.02";"5.51.01.0006083";6;2;"K";"45-64";"1-2 dni";"<5"
2022;5;"01";"8981816856";"03.4610.130.02";"5.51.01.0003065";6;1;"M";"18-44";"3-5 dni";"<5"
2022;12;"15";"6651042675";"03.4501.030.02";"5.51.01.0018050";6;2;"K";"0-17";"1-2 dni";"<5"
2022;2;"04";"5993168108";"03.4030.030.02";"5.51.01.0010027";3;1;"K";"18-44";"1-2 dni";"<5"
2022;4;"08";"7543106048";"03.4000.030.02";"5.51.01.0004048";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;7;"09";"6871640438";"03.4272.030.02";"5.51.01.0004062";6;2;"M";"45-64";"3-5 dni";"<5"
2022;11;"07";"5220002529";"03.4610.030.02";"5.51.01.0003031";3;2;"M";"18-44";"6 i więcej dni";"<5"
2022;8;"14";"7122410820";"03.4000.030.02";"5.51.01.0016056";2;6;"M";"18-44";"3-5 dni";"<5"
2022;9;"08";"7491790304";"03.4000.030.02";"5.51.01.0007017";3;2;"K";"45-64";"6 i więcej dni";"<5"
2022;12;"07";"9521143675";"03.4501.030.02";"5.51.01.0018045";6;2;"K";"0-17";"3-5 dni";"<5"
2022;5;"03";"5641475805";"03.4500.030.02";"5.51.01.0007016";6;3;"M";"18-44";"6 i więcej dni";"<5"
2022;11;"05";"7272392503";"03.4500.030.02";"5.51.01.0006046";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;8;"02";"9532582266";"03.4610.030.02";"5.51.01.0003012";3;2;"M";"18-44";"3-5 dni";"<5"
2022;1;"05";"7272392503";"03.4000.030.02";"5.51.01.0004028";6;1;"M";"45-64";"6 i więcej dni";"<5"
2022;1;"03";"7141632875";"03.4500.030.02";"5.51.01.0006072";6;2;"M";"18-44";"1-2 dni";"<5"
2022;2;"01";"8862385315";"03.4401.030.02";"5.51.01.0014023";3;2;"M";"0-17";"1-2 dni";"<5"
